Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Random Forest,0.7571413210996022,0.5657214273401138,0.790687868931454,0.659548811736924,0.850442119633361,0.6921700951800456
XGBoost,0.8008494319200029,0.7029055153038593,0.5726719672328635,0.6311404673393521,0.8620487479302346,0.7223960557619207
LightGBM,0.7636912655460377,0.5734879617875508,0.8027346102879171,0.669017708111093,0.8619280990088483,0.7216859667056424
