executive_feature,importance
Clinical Acuity,1774
Age,1315
Flow Pressure,868
Insurance,737
Employment,610
Arrival Mode,560
Arrival Month,486
Arrival Time,463
Vitals Documentation,450
Previous Disposition,362
Race,346
Patient Segment,332
Arrival Day,323
Gender,215
Ethnicity,101
Language,58
